,Cena,Približno,Neto cena,DDV,Bivalna površina,Število sob,Leto izgradnje,Vrsta ponudbe,Lokacija,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Neto površina,Površina parcele,Leto zadnje prenove,Opremljenost in stanje,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Možnost menjave,Interna številka oglasa,Energetski razred
862,2.400.000 €,,,,"758,00 m²",,2007,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",,,Samostojna,"758,00 m²","1.210,00 m²",,,brez pripadajočega parkirišča,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,29.03.2022. ob 00:19,do prodaje,802 -krat,https://www.bolha.com/nepremicnine/ljubljana-bezigrad-hisa-samostojna-prodaja-oglas-9163287,9163287,Menjava za drugo nepremičnino ni možna,101108-557,C (35 - 60 kWh/m²a)
863,560.000 €,,,,"250,00 m²",,1954,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Moste",,,Dvostanovanjska,"250,00 m²","318,00 m²",,Delno opremljeno,brez pripadajočega parkirišča,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,29.03.2022. ob 00:19,do prodaje,634 -krat,https://www.bolha.com/nepremicnine/ljubljana-moste-hisa-dvostanovanjska-prodaja-oglas-9163286,9163286,Menjava za drugo nepremičnino ni možna,101206-44,C (35 - 60 kWh/m²a)
864,350.000 €,,,,"190,00 m²",5,1969,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Zalog",Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,,"433,00 m²",2007,Delno opremljeno,,Balkon,,Skupna cena,28.03.2022. ob 15:25,do prodaje,905 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-zalog-190.00-m2-oglas-9161450,9161450,,1211,
865,639.000 €,,,,"240,00 m²",4,,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Rudnik",Dvonadstropna,,Vrstna,,"1.033,00 m²",,Popolnoma opremljeno,5,"Balkon, Terasa, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar, Bazen",Skupna cena,28.03.2022. ob 11:37,do prodaje,714 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-rudnik-240.00-m2-oglas-9160421,9160421,,,
866,680.000 €,,,,,4,2021,Prodam,"Osrednjeslovenska, Brezovica pri Ljubljani, Brezovica pri Ljubljani",Večnadstropna,,Samostojna,"250,00 m²","572,00 m²",,,6,"Balkon, Terasa, Atrij",,Skupna cena,28.03.2022. ob 11:17,do prodaje,657 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-brezovica-pri-ljubljani-oglas-9160335,9160335,,,
867,590.000 €,,,,"765,00 m²",,2012,Prodam,"Podravska, Poljčane, Poljčane",,,Ostalo,,"4.475,00 m²",,,,,,Skupna cena,28.03.2022. ob 10:52,do prodaje,807 -krat,https://www.bolha.com/nepremicnine/hisa-16-stanovanji-poljcane-765.00-m2-oglas-9160206,9160206,,P-052-21,
868,3.900.000 €,,,,"1.368,00 m²",,2007,Prodam,"Obalno-kraška, Izola, Malija",,,,"1.744,00 m²","33.102,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,28.03.2022. ob 09:12,do prodaje,1825 -krat,https://www.bolha.com/nepremicnine/izola-malija-hisa-ostalo-prodaja-oglas-9159724,9159724,Menjava za drugo nepremičnino ni možna,101206-40,
869,250.000 €,,,,,6,1991,Prodam,"Koroška, Dravograd, Dravograd",,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,28.03.2022. ob 00:12,do prodaje,1532 -krat,https://www.bolha.com/nepremicnine/vrstna-hisa-oglas-9157680,9157680,,490271003-321,
870,80.000 €,,,,"93,00 m²",4,1800,Prodam,"Goriška, Ajdovščina, Šmarje",,"Zidana hiša (beton, opeka)",Samostojna,"93,00 m²","309,00 m²",1960,,,,,Skupna cena,25.03.2022. ob 00:21,do prodaje,2070 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-severna-primorska-ajdovscina-smarje-oglas-9116099,9116099,,PH22901266859018KM,
871,155.000 €,,,,,,2022,Prodam,"Savinjska, Prebold, Sv. Lovrenc",,,Dvojček,"110,00 m²","371,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,24.03.2022. ob 01:25,do prodaje,1350 -krat,https://www.bolha.com/nepremicnine/prebold-sv-lovrenc-hisa-dvojcek-prodaja-oglas-9110545,9110545,Menjava za drugo nepremičnino ni možna,107193-82,Ni možno izdati
872,175.000 €,,,,"107,00 m²",,1964,Prodam,"Podravska, Duplek, Zgornja Korena",,"Zidana hiša (beton, opeka)",Samostojna,"107,00 m²","16.170,00 m²",2006,,brez pripadajočega parkirišča,,,Skupna cena,22.03.2022. ob 00:15,do prodaje,1824 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-duplek-zgornja-korena-oglas-9097667,9097667,,PH38622169PV,
873,190.000 €,,,,,7,2021,Prodam,"Podravska, Dornava, Dornava",,,Samostojna,,,,,,,,Skupna cena,22.03.2022. ob 00:13,do prodaje,1845 -krat,https://www.bolha.com/nepremicnine/naprodaj-popolnoma-obnovljena-hisa-v-dornavi-oglas-9097639,9097639,,490151001-1005,
874,145.000 €,,,,"213,83 m²",2,2000,Prodam,"Podravska, Cirkulane, Meje",,,Samostojna,"175,08 m²","2.758,00 m²",2015,Neopremljeno,4,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,21.03.2022. ob 15:11,do prodaje,1236 -krat,https://www.bolha.com/nepremicnine/cirkulane-meje-hisa-samostojna-prodaja-oglas-9095740,9095740,Menjava za drugo nepremičnino ni možna,100151-85,C (35 - 60 kWh/m²a)
875,55.000 €,,,,"93,00 m²",,1997,Prodam,"Podravska, Podlehnik, Sedlašek",,"Zidana hiša (beton, opeka)",Samostojna,"93,00 m²",,,,,,,Skupna cena,20.03.2022. ob 00:15,do prodaje,3297 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-podlehnik-sedlasek-oglas-9084699,9084699,,PH01281AB,
876,150.000 €,,,,,8,1920,Prodam,"Goriška, Nova Gorica, Nova Gorica",,,Samostojna,,,,,,,,Skupna cena,19.03.2022. ob 00:16,do prodaje,2292 -krat,https://www.bolha.com/nepremicnine/samostojna-stanovanjska-hisa-oglas-9079135,9079135,,490371002-43,D (60 - 105 kWh/m²a)
877,378.000 €,,,,"143,10 m²",,1939,Prodam,"Obalno-kraška, Izola, Izola",,,,,"156,00 m²",,,,,,Skupna cena,18.03.2022. ob 15:11,do prodaje,1909 -krat,https://www.bolha.com/nepremicnine/vrstna-hisa-izola-143.1-m2-prodaja-oglas-9077496,9077496,,,
878,69.000 €,,,,"94,50 m²",2,1986,Prodam,"Pomurska, Ljutomer, Drakovci",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,,"953,00 m²",,Delno opremljeno,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,18.03.2022. ob 14:36,do prodaje,2574 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-drakovci-94.00-m2-oglas-9077370,9077370,,P20-2022,G (210+ kWh/m²a)
879,1.090.000 €,,,,"154,90 m²",5,1903,Prodam,"Gorenjska, Kranjska Gora, Kranjska Gora",,,Samostojna,"203,10 m²","594,00 m²",1999,Popolnoma opremljeno,2,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,18.03.2022. ob 00:15,do prodaje,911 -krat,https://www.bolha.com/nepremicnine/kranjska-gora-hisa-samostojna-prodaja-oglas-9073573,9073573,Menjava za drugo nepremičnino ni možna,109208-34,EI v izdelavi
880,565.000 €,,,,,,1980,Prodam,"Podravska, Ruše, Ruše",,,Samostojna,"570,40 m²",,2001,Popolnoma opremljeno,7+,"Balkon, Terasa",,Skupna cena,17.03.2022. ob 15:11,do prodaje,1124 -krat,https://www.bolha.com/nepremicnine/ruse-hisa-samostojna-prodaja-oglas-9072100,9072100,Menjava za drugo nepremičnino ni možna,100151-87,
881,580.000 €,,,,"110,00 m²",5,1990,Prodam,"Obalno-kraška, Koper, Koper",,"Zidana hiša (beton, opeka)",,"110,00 m²",,2018,Popolnoma opremljeno,,,,Skupna cena,17.03.2022. ob 00:19,do prodaje,751 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-vrstna-juzna-primorska-koper-capodistria-koper-oglas-9067838,9067838,,PH22901266858987AB,
882,275.000 €,,,,"166,00 m²",,2022,Prodam,"Podravska, Ptuj, Ptuj",,"Zidana hiša (beton, opeka)",,"166,00 m²",,,,,,,Skupna cena,17.03.2022. ob 00:14,do prodaje,1044 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-vrstna-podravska-ptuj-ptuj-oglas-9067820,9067820,,PH01270AB,
883,275.000 €,,,,"161,00 m²",,2022,Prodam,"Podravska, Ptuj, Ptuj",,"Zidana hiša (beton, opeka)",,"161,00 m²",,,,,,,Skupna cena,17.03.2022. ob 00:14,do prodaje,856 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-vrstna-podravska-ptuj-ptuj-oglas-9067819,9067819,,PH01269AB,
884,275.000 €,,,,"161,00 m²",,2022,Prodam,"Podravska, Ptuj, Ptuj",,"Zidana hiša (beton, opeka)",,"161,00 m²",,,,,,,Skupna cena,17.03.2022. ob 00:14,do prodaje,696 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-vrstna-podravska-ptuj-ptuj-oglas-9067818,9067818,,PH01268AB,
885,430.000 €,,,,"375,00 m²",6,2005,Prodam,"Podravska, Maribor okolica, Počehova",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"536,00 m²",2015,Popolnoma opremljeno,,Balkon,,Skupna cena,16.03.2022. ob 14:44,do prodaje,974 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-pocehova-375.00-m2-oglas-9066187,9066187,,1443,C (35 - 60 kWh/m²a)
886,400.000 €,,,,"183,00 m²",4,1977,Prodam,"Podravska, Maribor, Radvanje",,"Zidana hiša (beton, opeka)",Samostojna,"183,00 m²","400,00 m²",2007,,,,,Skupna cena,16.03.2022. ob 00:17,do prodaje,1120 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-maribor-spodnje-radvanje-oglas-9029763,9029763,,985,
887,199.900 €,,,,,,1962,Prodam,"Pomurska, Gornja Radgona, Lomanoše",,,Samostojna,"263,40 m²","9.163,00 m²",,Potrebno obnove,,,,Skupna cena,15.03.2022. ob 08:44,do prodaje,1160 -krat,https://www.bolha.com/nepremicnine/vecje-zemljisce-posest-v-gornji-radgoni-pomurska-oglas-9026136,9026136,,02351-168,EI ni potrebna (334. člen EZ-1)
888,299.000 €,,,,,6,2000,Prodam,"Gorenjska, Radovljica, Brda",,,Samostojna,,,,,,,,Skupna cena,15.03.2022. ob 00:17,do prodaje,1414 -krat,https://www.bolha.com/nepremicnine/stanovanjska-hisa-v-goriskih-brdih-oglas-9023845,9023845,,490371006-30,
889,215.000 €,,,,,6,1924,Prodam,"Obalno-kraška, Koper, Ankaran",Dvonadstropna,,Samostojna,,,,,,,,Skupna cena,15.03.2022. ob 00:13,do prodaje,2201 -krat,https://www.bolha.com/nepremicnine/hrvatini-samostojna-hisa-185m2-zemljisce-323-m2-oglas-9023806,9023806,,490111025-21,
890,290.000 €,,,,"129,11 m²",,2022,Prodam,"Podravska, Maribor okolica, Kamnica",,,Dvojček,"129,11 m²",,,,brez pripadajočega parkirišča,,,Skupna cena,14.03.2022. ob 15:11,do prodaje,1616 -krat,https://www.bolha.com/nepremicnine/maribor-kamnica-hisa-dvojcek-prodaja-oglas-9022082,9022082,Menjava za drugo nepremičnino ni možna,100233-17,
891,550.000 €,,,,,10+,1971,Prodam,"Savinjska, Žalec, Žalec",Dvonadstropna,,Samostojna,,,,,,,"Vrtna uta, Lopa za shranjevanje",Skupna cena,12.03.2022. ob 00:14,do prodaje,1391 -krat,https://www.bolha.com/nepremicnine/dvostanovanjska-hisa-z-gospodarskim-poslopjem-oglas-9005926,9005926,,490281029-58,C (35 - 60 kWh/m²a)
892,169.000 €,,,,,5,1978,Prodam,"Podravska, Ptuj, Ptuj",Dvonadstropna,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,10.03.2022. ob 00:12,do prodaje,3878 -krat,https://www.bolha.com/nepremicnine/vzdrzevana-hisa-v-oresju-oglas-8995129,8995129,,490151040-80,
893,49.000 €,,,,,2,1930,Prodam,"Primorsko-notranjska, Ilirska Bistrica, Ilirska Bistrica",,,Samostojna,,,,,,,,Skupna cena,10.03.2022. ob 00:12,do prodaje,1969 -krat,https://www.bolha.com/nepremicnine/naprodaj-hisa-z-zazidljivim-zemljiscem-racice-oglas-8995128,8995128,,490111028-23,EI ni potrebna (334. člen EZ-1)
894,145.000 €,,,,"142,00 m²",,1900,Prodam,"Obalno-kraška, Koper, Pregara",,"Zidana hiša (beton, opeka)",Samostojna,"142,00 m²","720,00 m²",1990,,,,,Skupna cena,09.03.2022. ob 00:22,do prodaje,2391 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-juzna-primorska-koper-capodistria-pregara-oglas-8988508,8988508,,PH22901266858980MP,
895,200.000 €,,,,"80,00 m²",10+,1927,Prodam,"Goriška, Brda, Vedrijan",,,Ostalo,"80,00 m²","27.406,00 m²",,,,,,Skupna cena,08.03.2022. ob 15:10,do prodaje,1292 -krat,https://www.bolha.com/nepremicnine/hisa-vedrijan-200.000.00-oglas-8986778,8986778,,4675-P-2021,G (210+ kWh/m²a)
896,850.000 €,,,,,,1910,Prodam,"Podravska, Maribor, Center",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"192,50 m²","908,00 m²",,,,,Vrt/dvorišče,Skupna cena,08.03.2022. ob 13:17,do prodaje,1740 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-center-oglas-8985803,8985803,,GALEA 2022/141,F (150 - 210 kWh/m²a)
897,175.000 €,,,,"120,00 m²",4,1965,Prodam,"Podravska, Ptuj, Ptuj",,,Samostojna,,"4.650,00 m²",,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,07.03.2022. ob 23:30,do prodaje,2529 -krat,https://www.bolha.com/nepremicnine/hiso-in-parcelo-4650-m2-v-predmestju-ptuja-prodamo-oglas-6891603,6891603,,,EI v izdelavi
898,320.000 €,,,,"259,00 m²",,1987,Prodam,"Obalno-kraška, Koper, Sv. Anton",,"Zidana hiša (beton, opeka)",Samostojna,"259,00 m²","582,00 m²",,,,,,Skupna cena,06.03.2022. ob 00:23,do prodaje,1261 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-juzna-primorska-koper-capodistria-sv-anton-oglas-8969375,8969375,,PH22901266858978MP,
899,87.000 €,,,,"110,00 m²",,1911,Prodam,"Primorsko-notranjska, Ilirska Bistrica, Dolnja Bitnja",,"Zidana hiša (beton, opeka)",Samostojna,"110,00 m²","23.808,00 m²",1997,,,,,Skupna cena,06.03.2022. ob 00:23,do prodaje,1756 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-notranjska-ilirska-bistrica-dolnja-bitnja-oglas-8969373,8969373,,PH22901266858966KM,
900,1.124 €,,,,"756,00 m²",5,1989,Prodam,"Savinjska, Celje, Celje",,"Zidana hiša (beton, opeka)",Samostojna,"756,00 m²","2.014,00 m²",,Delno opremljeno,1,,,Cena na m²,05.03.2022. ob 00:39,do prodaje,3606 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-celje-celje-oglas-8963691,8963691,,PH01181JP,
901,115.000 €,,,,"200,00 m²",7,2004,Prodam,"Osrednjeslovenska, Šmartno pri Litiji, Sevno",,,Samostojna,,"1.200,00 m²",,,,,,Skupna cena,03.03.2022. ob 14:11,do prodaje,1899 -krat,https://www.bolha.com/nepremicnine/smartno-pri-litiji-sevno-200.00-m2-oglas-8956359,8956359,,B228,Ni možno izdati
902,125.000 €,,,,,,1973,Prodam,"Osrednjeslovenska, Medvode, Trnovec",,,Samostojna,"128,00 m²","1.330,00 m²",,,,,,Skupna cena,02.03.2022. ob 13:41,do prodaje,4265 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-trnovec-oglas-8950787,8950787,,H-44/2022,
903,547.000 €,,,,"129,00 m²",3,1998,Prodam,"Obalno-kraška, Koper, Zgornje Škofije",,"Zidana hiša (beton, opeka)",Dvostanovanjska,"129,00 m²",,2021,Popolnoma opremljeno,,,,Skupna cena,02.03.2022. ob 00:19,do prodaje,1104 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvostanovanjska-juzna-primorska-koper-capodistria-zgorn-oglas-8947752,8947752,,PH22901266858971KM,
904,270.000 €,,,,"93,40 m²",,1908,Prodam,"Obalno-kraška, Koper, Krkavče",,,Vrstna,,,,,,,,Skupna cena,28.02.2022. ob 13:54,do prodaje,299 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-krkavce-93.00-m2-oglas-8940326,8940326,,H051121A,
905,390.000 €,,,,"168,00 m²",,2014,Prodam,"Osrednjeslovenska, Ivančna Gorica, Višnja Gora",,"Zidana hiša (beton, opeka)",Dvostanovanjska,"168,00 m²","340,00 m²",,,,,,Skupna cena,24.02.2022. ob 00:15,do prodaje,673 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvostanovanjska-osrednjeslovenska-ivancna-gorica-visnja-oglas-8913444,8913444,,PH00803PD,
906,195.000 €,,,,,6,2010,Prodam,"Savinjska, Slovenske Konjice, Slovenske Konjice",,,Samostojna,"159,00 m²","150,00 m²",,,brez pripadajočega parkirišča,Balkon,,Skupna cena,24.02.2022. ob 00:15,do prodaje,1705 -krat,https://www.bolha.com/nepremicnine/slovenske-konjice-hisa-samostojna-prodaja-oglas-8913443,8913443,Menjava za drugo nepremičnino ni možna,107193-78,EI v izdelavi
907,249.000 €,,,,,7,1986,Prodam,"Koroška, Ravne na Koroškem, Ravne na Koroškem",,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,24.02.2022. ob 00:14,do prodaje,2087 -krat,https://www.bolha.com/nepremicnine/dvostanovanjska-hisa-oglas-8913438,8913438,,490271003-315,
908,250.000 €,,,,"227,30 m²",,2002,Prodam,"Savinjska, Slovenske Konjice, Slovenske Konjice",,"Zidana hiša (beton, opeka)",Dvojček,,"2.032,00 m²",,,,,,Skupna cena,23.02.2022. ob 14:03,do prodaje,1464 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-slovenske-konjice-227.00-m2-oglas-8911323,8911323,Možna menjava za drugo nepremičnino,P-046-19,
909,859.000 €,,,,"295,00 m²",5,2005,Prodam,"Posavska, Brežice, Sela pri Dobovi",,"Zidana hiša (beton, opeka)",Samostojna,"295,00 m²","10.905,00 m²",,Popolnoma opremljeno,2,,,Skupna cena,19.02.2022. ob 00:22,do prodaje,2071 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-posavje-brezice-sela-pri-dobovi-oglas-8880972,8880972,,PH229012668657AK,
910,269.000 €,,,,,6,2015,Prodam,"Podravska, Majšperk, Majšperk",,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,19.02.2022. ob 00:15,do prodaje,2122 -krat,https://www.bolha.com/nepremicnine/novejsa-druzinska-hisa-umirjeni-lokaciji-oglas-8880958,8880958,,490321064-13,C (35 - 60 kWh/m²a)
911,180.000 €,,,,"130,50 m²",,1972,Prodam,"Gorenjska, Cerklje na Gorenjskem, Pšata",,,Samostojna,"149,50 m²","537,00 m²",,,,,,Skupna cena,18.02.2022. ob 10:46,do prodaje,2756 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-psata-130.00-m2-oglas-8878338,8878338,,H-124/2021,
912,99.900 €,,,,"178,00 m²",3,1967,Prodam,"Podravska, Sveti Jurij v Slovenskih goricah, Malna",,"Zidana hiša (beton, opeka)",Samostojna,"178,00 m²","3.500,00 m²",1980,,3,,,Skupna cena,18.02.2022. ob 00:23,do prodaje,2294 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sveti-jurij-v-slovenskih-goric-mal-oglas-8875754,8875754,,PH4647597MR,
913,230.000 €,,,,,4,1984,Prodam,"Podravska, Hoče, Hotinja vas",,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,18.02.2022. ob 00:16,do prodaje,1756 -krat,https://www.bolha.com/nepremicnine/stanovanjska-hisa-tik-ob-zelenem-pasu-oglas-8875658,8875658,,490321064-14,G (210+ kWh/m²a)
914,900.000 €,,,,"750,00 m²",,2021,Prodam,"Savinjska, Rogaška Slatina, Rogaška Slatina",,,Vrstna,"750,00 m²","1.125,00 m²",,Neopremljeno,2,"Balkon, Terasa",,Skupna cena,17.02.2022. ob 18:50,do prodaje,2425 -krat,https://www.bolha.com/nepremicnine/rogaska-slatina-hisa-vrstna-prodaja-oglas-6477219,6477219,Menjava za drugo nepremičnino ni možna,107209-1,
915,69.000 €,,,,"70,00 m²",,1900,Prodam,"Savinjska, Rogatec, Rogatec",,,Dvostanovanjska,"140,00 m²","530,00 m²",2006,Neopremljeno,brez pripadajočega parkirišča,,Vrt/dvorišče,Skupna cena,17.02.2022. ob 18:50,do prodaje,3834 -krat,https://www.bolha.com/nepremicnine/rogatec-hisa-dvostanovanjska-prodaja-oglas-6499893,6499893,Menjava za drugo nepremičnino ni možna,107209-53,
916,749.000 €,,,,"756,00 m²",,1991,Prodam,"Savinjska, Celje, Prekorje",,,Samostojna,"756,00 m²","2.014,00 m²",,Delno opremljeno,brez pripadajočega parkirišča,Terasa,Bazen,Skupna cena,17.02.2022. ob 18:40,do prodaje,2723 -krat,https://www.bolha.com/nepremicnine/celje-prekorje-hisa-samostojna-prodaja-oglas-8484793,8484793,Menjava za drugo nepremičnino ni možna,107194-77,C (35 - 60 kWh/m²a)
917,430.000 €,,,,,6,2002,Prodam,"Podravska, Hoče, Slivnica pri Mariboru",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"276,00 m²","804,00 m²",2014,Popolnoma opremljeno,2,Terasa,"Vrt/dvorišče, Žar",Skupna cena,17.02.2022. ob 07:54,do prodaje,1681 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-hoce-oglas-8871907,8871907,,1424,C (35 - 60 kWh/m²a)
918,770.000 €,,,,"257,00 m²",,1982,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most",,"Zidana hiša (beton, opeka)",Samostojna,"257,00 m²","621,00 m²",2013,,,,,Skupna cena,17.02.2022. ob 00:13,do prodaje,358 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-ljubljana-vic-rudnik-vic-oglas-8869667,8869667,,KODA: P3786JL,
919,99.000 €,,,,,3,1996,Prodam,"Pomurska, Razkrižje, Gibina",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"54,00 m²","4.636,00 m²",2013,Delno opremljeno,,,,Skupna cena,16.02.2022. ob 15:45,do prodaje,1898 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ljutomer-oglas-8867866,8867866,,1423,
920,84.500 €,,,,,4,1999,Prodam,"Savinjska, Rogaška Slatina, Rogaška Slatina",,,Samostojna,,,,,,,,Skupna cena,16.02.2022. ob 00:15,do prodaje,1811 -krat,https://www.bolha.com/nepremicnine/stanovanjska-hisa-gabrovec-pri-kostrivnici-oglas-8863058,8863058,,490281028-79,G (210+ kWh/m²a)
921,240.000 €,,,,"310,00 m²",,1995,Prodam,"Savinjska, Celje, Trnovlje pri Celju",,,Samostojna,,"1.000,00 m²",,,,,,Skupna cena,15.02.2022. ob 15:36,do prodaje,3320 -krat,https://www.bolha.com/nepremicnine/hisa-samostojna-celje-trnovlje-310-m2-oglas-8860983,8860983,,,
922,65.000 €,,,,,6,2012,Prodam,"Pomurska, Lendava, Lendava",,,Samostojna,,,,,,,,Skupna cena,15.02.2022. ob 00:17,do prodaje,2849 -krat,https://www.bolha.com/nepremicnine/hisa-lendava-pomurje-oglas-8856980,8856980,,490321066-12,
923,80.000 €,,,,,4,1990,Prodam,"Pomurska, Lendava, Lendava",,,Samostojna,,,,,,,,Skupna cena,15.02.2022. ob 00:17,do prodaje,2170 -krat,https://www.bolha.com/nepremicnine/hisa-lendava-pomurje-oglas-8856979,8856979,,490321066-13,
924,50.000 €,,,,,2,1900,Prodam,"Savinjska, Slovenske Konjice, Slovenske Konjice",,,Samostojna,,,,,,,,Skupna cena,12.02.2022. ob 00:15,do prodaje,2779 -krat,https://www.bolha.com/nepremicnine/tepanje-starejso-hisko-prodamo-oglas-8837391,8837391,,490321055-107,G (210+ kWh/m²a)
925,79.800 €,,,,"2.500,00 m²",,2016,Prodam,"Podravska, Markovci, Markovci",,"Zidana hiša (beton, opeka)",Samostojna,"2.500,00 m²",,,,,,,Skupna cena,12.02.2022. ob 00:14,do prodaje,5556 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-markovci-borovci-oglas-8837383,8837383,,PH01252AB,
926,695.000 €,,,,"200,00 m²",,2005,Prodam,"Obalno-kraška, Koper, Koper",,,,,"206,00 m²",,,,,,Skupna cena,11.02.2022. ob 15:11,do prodaje,1054 -krat,https://www.bolha.com/nepremicnine/vrstna-hisa-koper-200-m2-prodaja-oglas-8835685,8835685,,,
927,118.000 €,,,,"187,80 m²",2,1953,Prodam,"Podravska, Starše, Marjeta na Dravskem polju",Enonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,"184,50 m²","376,00 m²",2010,Delno opremljeno,4,"Terasa, Atrij",Vrt/dvorišče,Skupna cena,11.02.2022. ob 12:40,do prodaje,2934 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-marjeta-dravskem-polju-187.00-m2-oglas-8835083,8835083,,PH226,D (60 - 105 kWh/m²a)
928,890.000 €,,,,"376,00 m²",,1996,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Črnuče",,,Vrstna,,"618,00 m²",2008,,,,"Vrt/dvorišče, Bazen",Skupna cena,11.02.2022. ob 11:44,do prodaje,980 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-crnuce-376.00-m2-oglas-8834821,8834821,,,
929,610.000 €,,,,"207,00 m²",4,2003,Prodam,"Obalno-kraška, Izola, Šared",,"Zidana hiša (beton, opeka)",Samostojna,"207,00 m²","9.330,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,11.02.2022. ob 00:19,do prodaje,1620 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-juzna-primorska-izola-isola-sared-oglas-8831575,8831575,,PH229012668659PB,
930,129.000 €,,,,,,2005,Prodam,"Pomurska, Murska Sobota, Murska Sobota",,,Samostojna,"127,60 m²","493,00 m²",,Potrebno obnove,,,,Skupna cena,09.02.2022. ob 16:58,do prodaje,3389 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-murska-sobota-krog-oglas-8824248,8824248,,P-008NH-22,
931,95.000 €,,,,"120,00 m²",5,1895,Prodam,"Jugovzhodna Slovenija, Kočevje, Kočevje",,,Samostojna,,,2019,,,,,Skupna cena,09.02.2022. ob 09:21,do prodaje,2433 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-kocevje-120.00-m2-oglas-8822097,8822097,,B227,D (60 - 105 kWh/m²a)
932,105.000 €,,,,"145,00 m²",,1900,Prodam,"Obalno-kraška, Koper, Sv. Anton",,"Zidana hiša (beton, opeka)",Samostojna,"145,00 m²","172,00 m²",,,,,,Skupna cena,09.02.2022. ob 00:21,do prodaje,2216 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-juzna-primorska-koper-capodistria-sv-anton-oglas-8820005,8820005,,PH229012668653MP,
